team,role,sector,budget,trust,score
Acadia,AEP Appalachian Power,Energy/Utilities,$17.1M,15,0
Arches,Montgomery County Government,Local Government,$12.125M,15,0
Banff,WDBJ7 News,Media,$5.1M,15,0
Bryce,SW Virginia Sheriff's Coalition,Law Enforcement,$39.8M,7,0
Denali,VA DEQ SW Regional Office,Environmental,$6.5M,16,0
Glacier,Shentel Communications,Telecommunications,$47.95M,14,0
Jasper,Virginia Tech Crisis Response,Academic/Research,$9.05M,16,0
Olympic,Governor's SW Virginia Liaison,State Executive,$13.525M,10,0
Redwood,VDOT SW Region,Transportation,$23.8M,20,0
Sequoia,Carilion Clinic System,Healthcare,$2.2M,12,0
Shenandoah,CISA Regional Coordinator,Federal Cyber,$13.35M,13,0
Yellowstone,Appalachian Faith & Community Network,Community/Faith,$10.325M,11,0
Yoho,SW Virginia EMA,Emergency Mgmt,$6.75M,12,0
Yosemite,Food City / Regional Supply Chain,Business/Supply,$4.4M,15,0
Zion,United Way SW Virginia,Humanitarian NGO,$0.56M,18,0
